,id,attack,cost,health,mechanics,mechanics_binarized,mechanics_sparse,playerClass,player_class_binarized,player_class_sparse,rarity,rarity_binarized,rarity_sparse,playRequirements,play_requirements_binarized,type,type_binarized,text,damage_binarized,features,pca_features
0,OG_121,0.5833333333333333,0.28,0.4666666666666667,['BATTLECRY'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","  (0, 0)	1.0
  (1, 0)	1.0
  (2, 0)	1.0
  (3, 0)	1.0
  (4, 0)	1.0
  (5, 0)	1.0
  (6, 0)	1.0
  (7, 0)	1.0
  (8, 0)	1.0
  (9, 0)	1.0
  (10, 0)	1.0
  (11, 0)	1.0
  (12, 0)	1.0
  (13, 0)	1.0
  (14, 0)	1.0
  (15, 0)	1.0
  (16, 0)	1.0
  (17, 0)	1.0
  (18, 0)	1.0
  (19, 0)	1.0
  (20, 0)	1.0
  (21, 0)	1.0
  (22, 0)	1.0
  (23, 0)	1.0
  (24, 0)	1.0
  :	:
  (862, 54)	1.0
  (863, 54)	1.0
  (864, 54)	1.0
  (865, 54)	1.0
  (866, 54)	1.0
  (867, 54)	1.0
  (868, 54)	1.0
  (869, 54)	1.0
  (870, 54)	1.0
  (871, 54)	1.0
  (872, 54)	1.0
  (873, 54)	1.0
  (874, 54)	1.0
  (875, 54)	1.0
  (876, 54)	1.0
  (25, 55)	1.0
  (45, 55)	1.0
  (63, 55)	1.0
  (118, 55)	1.0
  (281, 55)	1.0
  (498, 55)	1.0
  (595, 55)	1.0
  (696, 55)	1.0
  (767, 55)	1.0
  (803, 55)	1.0",WARLOCK,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","  (0, 0)	1.0
  (1, 0)	1.0
  (2, 0)	1.0
  (3, 0)	1.0
  (4, 0)	1.0
  (5, 0)	1.0
  (6, 0)	1.0
  (7, 0)	1.0
  (8, 0)	1.0
  (9, 0)	1.0
  (10, 0)	1.0
  (11, 0)	1.0
  (12, 0)	1.0
  (13, 0)	1.0
  (14, 0)	1.0
  (15, 0)	1.0
  (17, 0)	1.0
  (18, 0)	1.0
  (19, 0)	1.0
  (20, 0)	1.0
  (21, 0)	1.0
  (22, 0)	1.0
  (23, 0)	1.0
  (24, 0)	1.0
  (25, 0)	1.0
  :	:
  (551, 19)	1.0
  (556, 19)	1.0
  (567, 19)	1.0
  (578, 19)	1.0
  (585, 19)	1.0
  (612, 19)	1.0
  (614, 19)	1.0
  (618, 19)	1.0
  (639, 19)	1.0
  (649, 19)	1.0
  (656, 19)	1.0
  (658, 19)	1.0
  (662, 19)	1.0
  (698, 19)	1.0
  (723, 19)	1.0
  (751, 19)	1.0
  (773, 19)	1.0
  (776, 19)	1.0
  (808, 19)	1.0
  (822, 19)	1.0
  (825, 19)	1.0
  (833, 19)	1.0
  (841, 19)	1.0
  (854, 19)	1.0
  (857, 19)	1.0",LEGENDARY,"[0, 0, 0, 1, 0]","  (0, 0)	1.0
  (1, 0)	1.0
  (3, 0)	1.0
  (5, 0)	1.0
  (6, 0)	1.0
  (8, 0)	1.0
  (9, 0)	1.0
  (10, 0)	1.0
  (11, 0)	1.0
  (13, 0)	1.0
  (15, 0)	1.0
  (16, 0)	1.0
  (17, 0)	1.0
  (20, 0)	1.0
  (21, 0)	1.0
  (22, 0)	1.0
  (27, 0)	1.0
  (28, 0)	1.0
  (29, 0)	1.0
  (30, 0)	1.0
  (31, 0)	1.0
  (32, 0)	1.0
  (33, 0)	1.0
  (35, 0)	1.0
  (36, 0)	1.0
  :	:
  (767, 9)	1.0
  (778, 9)	1.0
  (780, 9)	1.0
  (781, 9)	1.0
  (784, 9)	1.0
  (789, 9)	1.0
  (793, 9)	1.0
  (807, 9)	1.0
  (810, 9)	1.0
  (813, 9)	1.0
  (814, 9)	1.0
  (816, 9)	1.0
  (818, 9)	1.0
  (822, 9)	1.0
  (828, 9)	1.0
  (833, 9)	1.0
  (837, 9)	1.0
  (838, 9)	1.0
  (844, 9)	1.0
  (850, 9)	1.0
  (852, 9)	1.0
  (855, 9)	1.0
  (870, 9)	1.0
  (871, 9)	1.0
  (872, 9)	1.0",['NONE'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MINION,"[1, 0, 0]",<b>Battlecry:</b> The next spell you cast this turn costs Health instead of Mana.,"[0, 0]","[0.5833333333333333, 0.4666666666666667, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[-0.7546125898341142, 0.3109435899222342, -0.44292548306146373, -0.10432373320303236, -0.6899305038602149, 0.3049120006569141, -0.8986545268200603, 0.17556965980289332, 0.3701142400849156, -0.044976367455906045, 0.23848962751127836, 0.2525835470558504, 0.5034574626844163, 0.08340791220935385, 0.1524841987428471, -0.2940750428224958, -0.4605064263716585, -0.3970510670815824, 0.022661309783364926, -0.21663262220538307, 0.051442286735140716, 0.060365219966565735, -0.09449188007322144, 0.05613306786227408, -0.06480734712255588, -0.0007674408790093032, 0.0031094763312631466, 0.07529944130402798, -0.0660511628904975, -0.046574359407149234, -0.023920429215591545, -0.0127329131404083, 0.05223405955491771, 0.005268166770263473, -0.02405378915505691, -0.020834610645374757, 0.0359447517736626, -0.008034614743731693, -0.01081202326400433, 0.04280194289743912, -0.005668173228442101, -0.003220241303009699, 0.008106146548802347, -0.007608015920094472, 0.013158232634246533, 0.0014663663924928412, -0.007256865735945533, 0.0020013060511484626, -0.0006928584970427688, -0.0015012903895530274]"
1,OG_085,0.16666666666666666,0.16,0.26666666666666666,['NONE'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","  (0, 0)	1.0
  (1, 0)	1.0
  (2, 0)	1.0
  (3, 0)	1.0
  (4, 0)	1.0
  (5, 0)	1.0
  (6, 0)	1.0
  (7, 0)	1.0
  (8, 0)	1.0
  (9, 0)	1.0
  (10, 0)	1.0
