,x,y,z,labels,rarity,cost,player_class,type,card_info,card_set
0,2.3422624662619134,-0.1017459710969757,-1.9614310134636133,Cho'gall,LEGENDARY,0.28,WARLOCK,MINION,<b>Battlecry:</b> The next spell you cast this turn costs Health instead of Mana.,OG
1,2.7809642676231623,-1.6923521014476806,0.7582704271056944,Demented Frostcaller,RARE,0.16,MAGE,MINION,"After you cast a spell, <b>Freeze</b> a random enemy.",OG
2,-1.3625440124981478,-2.3527922313877387,-0.4378030580370348,Murloc Knight,COMMON,0.16,PALADIN,MINION,<b>Inspire:</b> Summon a random Murloc.,TGT
3,-0.17590370558165233,-1.200762341447858,-3.346594664858712,Wolfrider,FREE,0.12,NEUTRAL,MINION,<b>Charge</b>,CORE
4,-0.9988532600421727,-3.1399310705422994,-2.6706210317832544,Force-Tank MAX,COMMON,0.32,NEUTRAL,MINION,<b>Divine Shield</b>,GVG
5,1.010331915733996,1.6817594894834715,1.540848132017676,Lava Shock,RARE,0.08,SHAMAN,SPELL,"Deal $2 damage.
Unlock your <b>Overloaded</b> Mana Crystals.",BRM
6,-0.1609496891343192,-0.9564107423696785,-2.6337191914083022,Raid Leader,FREE,0.12,NEUTRAL,MINION,Your other minions have +1 Attack.,CORE
7,-1.6757577656136242,2.929433683230116,1.7506646422848124,Thoughtsteal,COMMON,0.12,PRIEST,SPELL,Copy 2 cards from your opponent's deck and put them into your hand.,EXPERT1
8,0.7578407006636011,1.6632209132793894,-3.0806841521750137,Flame Leviathan,LEGENDARY,0.28,MAGE,MINION,"When you draw this, deal 2 damage to all characters.",GVG
9,2.458659408556391,-1.4455680169949898,1.8041235538616345,Siege Engine,RARE,0.2,WARRIOR,MINION,"Whenever you gain Armor, give this minion +1 Attack.",GVG
10,3.02645993624932,-3.3402249365408214,0.39356870691299495,Ogre Ninja,RARE,0.2,ROGUE,MINION,"<b>Stealth</b>
50% chance to attack the wrong enemy.",GVG
11,-1.744689103925865,3.8321967630545872,0.08633800943929157,Counterspell,RARE,0.12,MAGE,SPELL,"<b>Secret:</b> When your opponent casts a spell, <b>Counter</b> it.",EXPERT1
12,0.024633091160037694,-2.605552249134667,3.0265007418147447,Gurubashi Berserker,COMMON,0.2,NEUTRAL,MINION,"Whenever this minion takes damage, gain +3 Attack.",CORE
13,0.558832040682622,0.8376576037254077,-3.8373415718913293,Tirion Fordring,LEGENDARY,0.32,PALADIN,MINION,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,EXPERT1
